Receipt No.,Completion Time,Details,Transaction Status,Paid In,Withdrawn,Balance
TF30B8KY98,2025-06-03 09:06:00.029,,Completed,,-32.0,0.0
TF30B8KY98,2025-06-03 09:06:00.029,of Credit Party,Completed,32.0,,32.0
TF38B8E5WI,2025-06-03 09:04:00.019,,Completed,,-65.0,0.0
TF38B8E5WI,2025-06-03 09:04:00.019,of Credit Party,Completed,65.0,,65.0
TF31APDWQP,2025-06-03 06:00:00.000,,Completed,,-35.0,0.0
TF31APDWQP,2025-06-03 06:00:00.000,of Credit Party,Completed,35.0,,35.0
TF2693B3NM,2025-06-02 18:29:00.010,,Completed,,-35.0,0.0
TF2693B3NM,2025-06-02 18:29:00.010,of Credit Party,Completed,35.0,,35.0
TF278YF3HP,2025-06-02 18:06:59.990,,Completed,,-7.0,0.0
TF278YF3HP,2025-06-02 18:06:59.990,,Completed,,-150.0,7.0
TF278YF3HP,2025-06-02 18:06:59.990,of Credit Party,Completed,157.0,,157.0
TF258X6WBP,2025-06-02 18:00:59.962,,Completed,,-399.0,0.0
TF258X6WBP,2025-06-02 18:00:59.962,of Credit Party,Completed,399.0,,399.0
TF218909YL,2025-06-02 15:42:59.990,,Completed,,-20.0,0.0
TF218909YL,2025-06-02 15:42:59.990,of Credit Party,Completed,20.0,,20.0
TF217BKT0T,2025-06-02 12:11:00.010,,Completed,,-65.0,0.0
TF217BKT0T,2025-06-02 12:11:00.010,of Credit Party,Completed,65.0,,65.0
TF266LMTDA,2025-06-02 09:17:00.038,,Completed,,-35.0,0.0
TF266LMTDA,2025-06-02 09:17:00.038,of Credit Party,Completed,35.0,,35.0
TF216CJPEZ,2025-06-02 08:08:00.010,,Completed,,-36.0,0.0
TF216CJPEZ,2025-06-02 08:08:00.010,of Credit Party,Completed,36.0,,36.0
TEV517VPJR,2025-05-31 22:00:00.029,,Completed,,-50.0,0.0
TEV517VPJR,2025-05-31 22:00:00.029,of Credit Party,Completed,50.0,,50.0
TEV5ZYX193,2025-05-31 21:06:59.990,,Completed,,-7.0,0.0
TEV5ZYX193,2025-05-31 21:06:59.990,,Completed,,-130.0,7.0
TEV5ZYX193,2025-05-31 21:06:59.990,of Credit Party,Completed,137.0,,137.0
TEV3ZXJ5V5,2025-05-31 21:00:00.000,,Completed,,-223.0,0.0
TEV3ZXJ5V5,2025-05-31 21:00:00.000,of Credit Party,Completed,223.0,,223.0
TEV2YZVUHK,2025-05-31 18:45:00.000,,Completed,,-35.0,0.0
TEV2YZVUHK,2025-05-31 18:45:00.000,of Credit Party,Completed,35.0,,35.0
TEV6XZ382A,2025-05-31 15:40:00.019,,Completed,,-35.0,0.0
TEV6XZ382A,2025-05-31 15:40:00.019,of Credit Party,Completed,35.0,,35.0
TEV6WWQR4U,2025-05-31 11:46:59.981,,Completed,,-50.0,0.0
TEV6WWQR4U,2025-05-31 11:46:59.981,Credit Party,Completed,50.0,,50.0
TEV4WGH6VW,2025-05-31 10:00:59.990,,Completed,,-38.0,0.0
TEV4WGH6VW,2025-05-31 10:00:59.990,Credit Party,Completed,38.0,,38.0
TEV3WG6581,2025-05-31 09:58:59.981,,Completed,,-300.0,0.0
TEV3WG6581,2025-05-31 09:58:59.981,Credit Party,Completed,300.0,,300.0
TEU4V7GKLY,2025-05-30 21:38:00.010,,Completed,,-90.0,0.0
TEU4V7GKLY,2025-05-30 21:38:00.010,Credit Party,Completed,90.0,,90.0
TEU8TRTHHO,2025-05-30 17:53:59.971,,Completed,,-406.0,0.0
TEU8TRTHHO,2025-05-30 17:53:59.971,Credit Party,Completed,406.0,,406.0
TET8OQK4FO,2025-05-29 17:12:59.990,,Completed,,-7.0,0.0
TET8OQK4FO,2025-05-29 17:12:59.990,,Completed,,-110.0,7.0
TET8OQK4FO,2025-05-29 17:12:59.990,Credit Party,Completed,117.0,,117.0
TET2OP2PB0,2025-05-29 17:05:00.038,,Completed,,-50.0,0.0
TET2OP2PB0,2025-05-29 17:05:00.038,Credit Party,Completed,50.0,,50.0
TET6OI725A,2025-05-29 16:25:59.981,,Completed,,-32.0,0.0
TET6OI725A,2025-05-29 16:25:59.981,Credit Party,Completed,32.0,,32.0
TET7OHX24R,2025-05-29 16:23:59.971,,Completed,,-20.0,0.0
TET7OHX24R,2025-05-29 16:23:59.971,Credit Party,Completed,20.0,,20.0
TET6NTA2WU,2025-05-29 13:43:59.981,,Completed,,-50.0,0.0
TET6NTA2WU,2025-05-29 13:43:59.981,Credit Party,Completed,50.0,,50.0
TET3NSLHUT,2025-05-29 13:39:00.000,,Completed,,-7.0,0.0
TET3NSLHUT,2025-05-29 13:39:00.000,,Completed,,-190.0,7.0
TET3NSLHUT,2025-05-29 13:39:00.000,Credit Party,Completed,197.0,,197.0
TET2NGFPR6,2025-05-29 12:20:00.010,,Completed,,-29.0,0.0
TET2NGFPR6,2025-05-29 12:20:00.010,,Completed,,-450.0,29.0
TET2NGFPR6,2025-05-29 12:20:00.010,Credit Party,Completed,479.0,,479.0
TET6MBAPOO,2025-05-29 07:12:59.962,,Completed,,-30.0,0.0
TET6MBAPOO,2025-05-29 07:12:59.962,Credit Party,Completed,30.0,,30.0
TET8MAZ7SG,2025-05-29 07:09:00.029,,Completed,,-34.0,0.0
TET8MAZ7SG,2025-05-29 07:09:00.029,Credit Party,Completed,34.0,,34.0
TES0KASQ24,2025-05-28 17:57:59.990,,Completed,,-40.0,0.0
TES0KASQ24,2025-05-28 17:57:59.990,Credit Party,Completed,40.0,,40.0
TES2JD1LPI,2025-05-28 14:35:00.010,,Completed,,-35.0,0.0
